recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, prog_prop_trt, prog_prop_ctrl, hr_before_after, censoring_prop, effect_size_ph, hazard_after_prog, hazard_trt, prog_rate_trt, prog_rate_ctrl, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 986.175, 986.175, 171.389886591306, 171.389886591306, 1, 1, 322.133491174015, 322.133491174015, 1, 1, 0.879536170895376, 0.879536170895376, 0.773583875913301, 0.773583875913301
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 986.175, 986.175, 171.389886591306, 171.389886591306, 1, 1, 322.133491174015, 322.133491174015, 1, 1, 0.879536170895376, 0.879536170895376, 0.773583875913301, 0.773583875913301
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 986.175, 986.175, 171.389886591306, 171.389886591306, 1, 1, 322.133491174015, 322.133491174015, 1, 1, 0.879536170895376, 0.879536170895376, 0.773583875913301, 0.773583875913301
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 986.175, 986.175, 171.389886591306, 171.389886591306, 1, 1, 322.133491174015, 322.133491174015, 1, 1, 0.879536170895376, 0.879536170895376, 0.773583875913301, 0.773583875913301
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 986.175, 986.175, 171.389886591306, 171.389886591306, 1, 1, 322.133491174015, 322.133491174015, 1, 1, 0.879536170895376, 0.879536170895376, 0.773583875913301, 0.773583875913301
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 986.175, 986.175, 171.389886591306, 171.389886591306, 1, 1, 322.133491174015, 322.133491174015, 1, 1, 0.879536170895376, 0.879536170895376, 0.773583875913301, 0.773583875913301
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 986.175, 986.175, 171.389886591306, 171.389886591306, 1, 1, 322.133491174015, 322.133491174015, 1, 1, 0.879536170895376, 0.879536170895376, 0.773583875913301, 0.773583875913301
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 7.02864279220164e-05, 0, 986.175, 986.175, 171.389886591306, 171.389886591306, 1, 1, 322.133491174015, 322.133491174015, 1, 1, 0.879536170895376, 0.879536170895376, 0.773583875913301, 0.773583875913301
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 328.725, 328.725, 151.572647978553, 151.572647978553, 1, 1, 254.701919813136, 254.701919813136, 1, 1, 0.680395000087188, 0.680395000087188, 0.462937356143645, 0.462937356143645
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 328.725, 328.725, 151.572647978553, 151.572647978553, 1, 1, 254.701919813136, 254.701919813136, 1, 1, 0.680395000087188, 0.680395000087188, 0.462937356143645, 0.462937356143645
