recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, hazard_trt, target_median_trt, hazard_subgroup, random_withdrawal, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m, old_seed, median_survival_trt, median_survival_ctrl, rmst_trt_10957.5, rmst_ctrl_10957.5, gAHR_10957.5, AHR_10957.5, node_name
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392529576716457, 182.625, 0.0027477070370152, 0, 131.686820496932, 131.736090921173, 1.00037412069531, 1.00037412053394, 197.669754838888, 197.60413638176, 0.9980236765507, 0.998023686887659, 0.5, 0.5, 0.251235285552264, 0.25, 1975681069, 182.625, 182.625, 265.676067414007, 263.472181842347, 0.991896881337136, 0.991898260992804, ims-node5
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 6.7698207263435e-05, 172.443099872521, 172.47091664017, 1.00268459969775, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00219952251608, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841, 182893813, 1095.75, 1095.75, 1591.55146246385, 1579.2893087386, 0.992065989444344, 0.992066981944063, ims-node5
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 6.7698207263435e-05, 172.443099872521, 172.47091664017, 1.00268459969775, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00219952251608, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841, 1948738120, 1095.75, 1095.75, 1591.55146246385, 1579.2893087386, 0.992065989444344, 0.992066981944063, ims-node5
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 6.7698207263435e-05, 172.443099872521, 172.47091664017, 1.00268459969775, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00219952251608, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841, 54857012, 1095.75, 1095.75, 1591.55146246385, 1579.2893087386, 0.992065989444344, 0.992066981944063, ims-node5
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 6.7698207263435e-05, 172.443099872521, 172.47091664017, 1.00268459969775, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00219952251608, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841, 1813335910, 1095.75, 1095.75, 1591.55146246385, 1579.2893087386, 0.992065989444344, 0.992066981944063, ims-node5
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 6.7698207263435e-05, 172.443099872521, 172.47091664017, 1.00268459969775, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00219952251608, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841, 608968442, 1095.75, 1095.75, 1591.55146246385, 1579.2893087386, 0.992065989444344, 0.992066981944063, ims-node5
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 6.7698207263435e-05, 172.443099872521, 172.47091664017, 1.00268459969775, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00219952251608, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841, 1203801162, 1095.75, 1095.75, 1591.55146246385, 1579.2893087386, 0.992065989444344, 0.992066981944063, ims-node5
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 6.7698207263435e-05, 172.443099872521, 172.47091664017, 1.00268459969775, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00219952251608, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841, 1001452656, 1095.75, 1095.75, 1591.55146246385, 1579.2893087386, 0.992065989444344, 0.992066981944063, ims-node5
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 6.7698207263435e-05, 172.443099872521, 172.47091664017, 1.00268459969775, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00219952251608, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841, 1680128228, 1095.75, 1095.75, 1591.55146246385, 1579.2893087386, 0.992065989444344, 0.992066981944063, ims-node5
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0.000203094621790305, 154.283299184217, 154.338430815216, 1.00172541798322, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00037412069531, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5, 425280377, 365.250000000001, 365.250000000001, 531.352113522796, 526.94436319394, 0.991896886009703, 0.991898265625266, ims-node5
