recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, hazard_trt, hazard_subgroup, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 6.8637779083162e-05, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.000203007184998265, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.000203007184998265, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.000203007184998265, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.000203007184998265, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.000203007184998265, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.000203007184998265, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.000203007184998265, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.000203007184998265, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.000406014544717324, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.000406014544717324, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.000406014544717324, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.000406014544717324, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.000406014544717324, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.000406014544717324, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.000406014544717324, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.000406014544717324, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.3, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0.000264774994915659, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.3, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0.000264774994915659, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.3, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0.000264774994915659, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.3, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0.000264774994915659, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.3, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0.000264774994915659, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.3, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0.000264774994915659, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.3, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0.000264774994915659, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.3, 0, 0.1, 0.7, 0.000674268458967014, 0.00047198792127691, 0.000264774994915659, 1063.16279176888, 1095.75, 172.143287546422, 172.47091664017, 1.00364769471702, 1.03340243338281, 324.924477676989, 326.125035191387, 1.00679550314009, 1.03288720978236, 0.88746862484877, 0.890898718140339, 0.787700194073079, 0.7937005259841
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.3, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.00078324662600396, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.3, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.00078324662600396, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.3, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.00078324662600396, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.3, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.00078324662600396, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.3, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.00078324662600396, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.3, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.00078324662600396, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.3, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.00078324662600396, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.3, 0, 0.1, 0.7, 0.00196081133187169, 0.00137256793231018, 0.00078324662600396, 365.592103938311, 365.25, 154.306902360159, 154.338430815216, 1.00023121507587, 1.00078940685739, 263.449217170866, 263.472181842347, 0.999720357255839, 0.99944061254291, 0.706935439442494, 0.707106781186548, 0.500323321944015, 0.5
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.3, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.00156649391633544, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.3, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.00156649391633544, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.3, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.00156649391633544, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.3, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.00156649391633544, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.3, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.00156649391633544, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.3, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.00156649391633544, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.3, 0, 0.1, 0.7, 0.00392162633188707, 0.00274513843232095, 0.00156649391633544, 182.795880990991, 182.625, 131.724570840649, 131.736090921173, 0.999720823270575, 0.999441544792739, 197.768795278004, 197.60413638176, 0.99782296250889, 0.997095339257101, 0.500322998953302, 0.5, 0.251557476931607, 0.25
