recruitment, n_pat, final_events, interim_events, n_ctrl, n_trt, hazard_ctrl, prog_prop_trt, prog_prop_ctrl, hr_before_after, censoring_prop, effect_size_ph, hazard_trt, hazard_after_prog, followup, prog_rate_trt, prog_rate_ctrl, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, cutoff_used
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000632577851298148, 0.000790722314122685, 2832.47266016521, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1228.43044169679, 986.175, 1228.43044169679, 986.175, 1, 1, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000632577851298148, 0.000790722314122685, 2832.47266016521, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1228.43044169679, 986.175, 1228.43044169679, 986.175, 1, 1, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000632577851298148, 0.000790722314122685, 2832.47266016521, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1228.43044169679, 986.175, 1228.43044169679, 986.175, 1, 1, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000632577851298148, 0.000790722314122685, 2832.47266016521, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1228.43044169679, 986.175, 1228.43044169679, 986.175, 1, 1, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000632577851298148, 0.000790722314122685, 2832.47266016521, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1228.43044169679, 986.175, 1228.43044169679, 986.175, 1, 1, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000632577851298148, 0.000790722314122685, 2832.47266016521, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1228.43044169679, 986.175, 1228.43044169679, 986.175, 1, 1, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000632577851298148, 0.000790722314122685, 2832.47266016521, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1228.43044169679, 986.175, 1228.43044169679, 986.175, 1, 1, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 0.1, 0.8, 0, 0, 0.000632577851298148, 0.000790722314122685, 2832.47266016521, 7.02864279220164e-05, 7.02864279220164e-05, 0, 1228.43044169679, 986.175, 1228.43044169679, 986.175, 1, 1, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00189773355389444, 0.00237216694236805, 944.157553388402, 0.000210859283766033, 0.000210859283766033, 0, 409.476813898933, 328.725000000003, 409.476813898933, 328.725000000003, 1, 1, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00189773355389444, 0.00237216694236805, 944.157553388402, 0.000210859283766033, 0.000210859283766033, 0, 409.476813898933, 328.725000000003, 409.476813898933, 328.725000000003, 1, 1, 944.157553388402
