recruitment, n_pat, final_events, interim_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, crossing, effect_size_ph, hr_before, hazard_trt_before, followup, hazard_trt_after, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, ms_surv_8_trt, ms_surv_12_trt, ms_surv_8_ctrl, ms_surv_12_ctrl, cutoff_used
547.875, 1000, 500, 250, 500, 500, 0.00379546710778889, 0, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00335704656225405, 0, 236.818059456518, 206.475295384208, 219.560151535289, 182.625, 0.904895159107399, 0.884488382303424, 0.441560233992917, 0.29341677016994, 0.39685026299205, 0.25, 472.078776694201
913.125, 1000, 500, 250, 500, 500, 0.00379546710778889, 0, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00335704656225405, 0, 236.818059456518, 206.475295384208, 219.560151535289, 182.625, 0.904895159107399, 0.884488382303424, 0.441560233992917, 0.29341677016994, 0.39685026299205, 0.25, 472.078776694201
547.875, 1500, 750, 375, 750, 750, 0.00379546710778889, 0, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00348513743467294, 0, 231.565473825814, 198.88661309708, 219.560151535289, 182.625, 0.932429416260821, 0.918236763933719, 0.428000478528869, 0.280005383835366, 0.39685026299205, 0.25, 472.078776694201
913.125, 1500, 750, 375, 750, 750, 0.00379546710778889, 0, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00348513743467294, 0, 231.565473825814, 198.88661309708, 219.560151535289, 182.625, 0.932429416260821, 0.918236763933719, 0.428000478528869, 0.280005383835366, 0.39685026299205, 0.25, 472.078776694201
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0.1, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 6.28522779039307e-05, 1497.50821449625, 1357.76091023411, 1317.36090921173, 1095.75, 0.842581491276592, 0.807027210564686, 0.883107284554183, 0.829889368079541, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0.1, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 6.28522779039307e-05, 1497.50821449625, 1357.76091023411, 1317.36090921173, 1095.75, 0.842581491276592, 0.807027210564686, 0.883107284554183, 0.829889368079541, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 6.28522779039307e-05, 1497.50821449625, 1357.76091023411, 1317.36090921173, 1095.75, 0.842581491276592, 0.807027210564686, 0.883107284554183, 0.829889368079541, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 6.28522779039307e-05, 1497.50821449625, 1357.76091023411, 1317.36090921173, 1095.75, 0.842581491276592, 0.807027210564686, 0.883107284554183, 0.829889368079541, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000571542695048147, 6.67408608623669e-05, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000571542695048147, 6.67408608623669e-05, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000571542695048147, 6.67408608623669e-05, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000571542695048147, 6.67408608623669e-05, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00156076442873287, 0.000190495789444228, 493.926224916484, 444.107494891262, 439.120303070578, 365.25, 0.854873572994419, 0.822436018760346, 0.683829857671413, 0.565486301398509, 0.629960524947437, 0.5, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00156076442873287, 0.000190495789444228, 493.926224916484, 444.107494891262, 439.120303070578, 365.25, 0.854873572994419, 0.822436018760346, 0.683829857671413, 0.565486301398509, 0.629960524947437, 0.5, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0.1, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00163304844387158, 0.000195161947033594, 481.318368013418, 424.449858276495, 439.120303070578, 365.25, 0.885482373014153, 0.860525673122192, 0.671898967272555, 0.550751844561544, 0.629960524947437, 0.5, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0.1, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00163304844387158, 0.000195161947033594, 481.318368013418, 424.449858276495, 439.120303070578, 365.25, 0.885482373014153, 0.860525673122192, 0.671898967272555, 0.550751844561544, 0.629960524947437, 0.5, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.1, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00169791384963008, 0.000199202809012305, 470.417287186504, 408.234599600539, 439.120303070578, 365.25, 0.913208059476774, 0.894706133084751, 0.661369877917097, 0.537856741737457, 0.629960524947437, 0.5, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.1, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00169791384963008, 0.000199202809012305, 470.417287186504, 408.234599600539, 439.120303070578, 365.25, 0.913208059476774, 0.894706133084751, 0.661369877917097, 0.537856741737457, 0.629960524947437, 0.5, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.1, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00171462808514444, 0.000200222582587101, 467.669549152624, 404.255118976168, 439.120303070578, 365.25, 0.920390078909882, 0.903513605282342, 0.658683627953344, 0.534583196277621, 0.629960524947437, 0.5, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.1, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00171462808514444, 0.000200222582587101, 467.669549152624, 404.255118976168, 439.120303070578, 365.25, 0.920390078909882, 0.903513605282342, 0.658683627953344, 0.534583196277621, 0.629960524947437, 0.5, 944.157553388402
547.875, 300, 150, 75, 150, 150, 0.00379546710778889, 0.1, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00306143748695208, 0.000377006200895231, 249.657365118269, 226.412325423646, 219.560151535289, 182.625, 0.842244331863743, 0.806603614261217, 0.474515959060121, 0.326870882072242, 0.39685026299205, 0.25, 472.078776694201
913.125, 300, 150, 75, 150, 150, 0.00379546710778889, 0.1, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00306143748695208, 0.000377006200895231, 249.657365118269, 226.412325423646, 219.560151535289, 182.625, 0.842244331863743, 0.806603614261217, 0.474515959060121, 0.326870882072242, 0.39685026299205, 0.25, 472.078776694201
547.875, 500, 250, 125, 250, 250, 0.00379546710778889, 0.1, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00320736352528671, 0.000386575105216816, 243.190429630674, 216.11120008543, 219.560151535289, 182.625, 0.873009384062418, 0.84505106596885, 0.457951031636954, 0.309904985270454, 0.39685026299205, 0.25, 472.078776694201
913.125, 500, 250, 125, 250, 250, 0.00379546710778889, 0.1, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00320736352528671, 0.000386575105216816, 243.190429630674, 216.11120008543, 219.560151535289, 182.625, 0.873009384062418, 0.84505106596885, 0.457951031636954, 0.309904985270454, 0.39685026299205, 0.25, 472.078776694201
547.875, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.1, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00335704656225405, 0.000396017744395292, 236.818059456518, 206.475295384208, 219.560151535289, 182.625, 0.904895159107399, 0.884488382303424, 0.441560233992917, 0.29341677016994, 0.39685026299205, 0.25, 472.078776694201
913.125, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.1, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00335704656225405, 0.000396017744395292, 236.818059456518, 206.475295384208, 219.560151535289, 182.625, 0.904895159107399, 0.884488382303424, 0.441560233992917, 0.29341677016994, 0.39685026299205, 0.25, 472.078776694201
547.875, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.1, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00348513743467294, 0.00040381654483211, 231.565473825814, 198.88661309708, 219.560151535289, 182.625, 0.932429416260821, 0.918236763933719, 0.428000478528869, 0.280005383835366, 0.39685026299205, 0.25, 472.078776694201
913.125, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.1, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00348513743467294, 0.00040381654483211, 231.565473825814, 198.88661309708, 219.560151535289, 182.625, 0.932429416260821, 0.918236763933719, 0.428000478528869, 0.280005383835366, 0.39685026299205, 0.25, 472.078776694201
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0.3, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 0.000242986776958651, 1497.50821449625, 1357.76091023411, 1317.36090921173, 1095.75, 0.842581491276592, 0.807027210564686, 0.883107284554183, 0.829889368079541, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0.3, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 0.000242986776958651, 1497.50821449625, 1357.76091023411, 1317.36090921173, 1095.75, 0.842581491276592, 0.807027210564686, 0.883107284554183, 0.829889368079541, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0.3, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 0.000242986776958651, 1497.50821449625, 1357.76091023411, 1317.36090921173, 1095.75, 0.842581491276592, 0.807027210564686, 0.883107284554183, 0.829889368079541, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0.3, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 0.000242986776958651, 1497.50821449625, 1357.76091023411, 1317.36090921173, 1095.75, 0.842581491276592, 0.807027210564686, 0.883107284554183, 0.829889368079541, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.3, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000571542695048147, 0.000257561512920438, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.3, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000571542695048147, 0.000257561512920438, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.3, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000571542695048147, 0.000257561512920438, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.3, 0, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000571542695048147, 0.000257561512920438, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0.3, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00156076442873287, 0.000736172106225932, 493.926224916484, 444.107494891262, 439.120303070578, 365.25, 0.854873572994419, 0.822436018760346, 0.683829857671413, 0.565486301398509, 0.629960524947437, 0.5, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0.3, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00156076442873287, 0.000736172106225932, 493.926224916484, 444.107494891262, 439.120303070578, 365.25, 0.854873572994419, 0.822436018760346, 0.683829857671413, 0.565486301398509, 0.629960524947437, 0.5, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0.3, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00163304844387158, 0.000753616303253693, 481.318368013418, 424.449858276495, 439.120303070578, 365.25, 0.885482373014153, 0.860525673122192, 0.671898967272555, 0.550751844561544, 0.629960524947437, 0.5, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0.3, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00163304844387158, 0.000753616303253693, 481.318368013418, 424.449858276495, 439.120303070578, 365.25, 0.885482373014153, 0.860525673122192, 0.671898967272555, 0.550751844561544, 0.629960524947437, 0.5, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.3, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00169791384963008, 0.000768829113523291, 470.417287186504, 408.234599600539, 439.120303070578, 365.25, 0.913208059476774, 0.894706133084751, 0.661369877917097, 0.537856741737457, 0.629960524947437, 0.5, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.3, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00169791384963008, 0.000768829113523291, 470.417287186504, 408.234599600539, 439.120303070578, 365.25, 0.913208059476774, 0.894706133084751, 0.661369877917097, 0.537856741737457, 0.629960524947437, 0.5, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.3, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00171462808514444, 0.000772684538761313, 467.669549152624, 404.255118976168, 439.120303070578, 365.25, 0.920390078909882, 0.903513605282342, 0.658683627953344, 0.534583196277621, 0.629960524947437, 0.5, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.3, 0, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00171462808514444, 0.000772684538761313, 467.669549152624, 404.255118976168, 439.120303070578, 365.25, 0.920390078909882, 0.903513605282342, 0.658683627953344, 0.534583196277621, 0.629960524947437, 0.5, 944.157553388402
547.875, 300, 150, 75, 150, 150, 0.00379546710778889, 0.3, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00306143748695208, 0.00145752154840488, 249.657365118269, 226.412325423646, 219.560151535289, 182.625, 0.842244331863743, 0.806603614261217, 0.474515959060121, 0.326870882072242, 0.39685026299205, 0.25, 472.078776694201
913.125, 300, 150, 75, 150, 150, 0.00379546710778889, 0.3, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00306143748695208, 0.00145752154840488, 249.657365118269, 226.412325423646, 219.560151535289, 182.625, 0.842244331863743, 0.806603614261217, 0.474515959060121, 0.326870882072242, 0.39685026299205, 0.25, 472.078776694201
547.875, 500, 250, 125, 250, 250, 0.00379546710778889, 0.3, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00320736352528671, 0.00149318714439984, 243.190429630674, 216.11120008543, 219.560151535289, 182.625, 0.873009384062418, 0.84505106596885, 0.457951031636954, 0.309904985270454, 0.39685026299205, 0.25, 472.078776694201
913.125, 500, 250, 125, 250, 250, 0.00379546710778889, 0.3, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00320736352528671, 0.00149318714439984, 243.190429630674, 216.11120008543, 219.560151535289, 182.625, 0.873009384062418, 0.84505106596885, 0.457951031636954, 0.309904985270454, 0.39685026299205, 0.25, 472.078776694201
547.875, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.3, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00335704656225405, 0.00152864730068961, 236.818059456518, 206.475295384208, 219.560151535289, 182.625, 0.904895159107399, 0.884488382303424, 0.441560233992917, 0.29341677016994, 0.39685026299205, 0.25, 472.078776694201
913.125, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.3, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00335704656225405, 0.00152864730068961, 236.818059456518, 206.475295384208, 219.560151535289, 182.625, 0.904895159107399, 0.884488382303424, 0.441560233992917, 0.29341677016994, 0.39685026299205, 0.25, 472.078776694201
547.875, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.3, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00348513743467294, 0.00155814465585025, 231.565473825814, 198.88661309708, 219.560151535289, 182.625, 0.932429416260821, 0.918236763933719, 0.428000478528869, 0.280005383835366, 0.39685026299205, 0.25, 472.078776694201
913.125, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.3, 0, 0.5, 3, 0.0113864013233667, 472.078776694201, 0.00348513743467294, 0.00155814465585025, 231.565473825814, 198.88661309708, 219.560151535289, 182.625, 0.932429416260821, 0.918236763933719, 0.428000478528869, 0.280005383835366, 0.39685026299205, 0.25, 472.078776694201
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000493026668102156, 0, 1403.69715284837, 1232.46000307926, 1317.36090921173, 1095.75, 0.903790086907196, 0.874640972076358, 0.814188371318586, 0.766753798328549, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000493026668102156, 0, 1403.69715284837, 1232.46000307926, 1317.36090921173, 1095.75, 0.903790086907196, 0.874640972076358, 0.814188371318586, 0.766753798328549, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510505202596396, 0, 1378.6504840491, 1192.34760307803, 1317.36090921173, 1095.75, 0.925990517967207, 0.901815828933524, 0.811593611363964, 0.762685477322237, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510505202596396, 0, 1378.6504840491, 1192.34760307803, 1317.36090921173, 1095.75, 0.925990517967207, 0.901815828933524, 0.811593611363964, 0.762685477322237, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 0, 1378.64718332642, 1192.34242519509, 1317.36090921173, 1095.75, 0.925993493471877, 0.901819461308187, 0.811593265098562, 0.762684934990967, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 0, 1378.64718332642, 1192.34242519509, 1317.36090921173, 1095.75, 0.925993493471877, 0.901819461308187, 0.811593265098562, 0.762684934990967, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 0, 1378.64718332642, 1192.34242519509, 1317.36090921173, 1095.75, 0.925993493471877, 0.901819461308187, 0.811593265098562, 0.762684934990967, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 0, 1378.64718332642, 1192.34242519509, 1317.36090921173, 1095.75, 0.925993493471877, 0.901819461308187, 0.811593265098562, 0.762684934990967, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000918354198822221, 0, 479.289042501109, 438.260534605765, 439.120303070578, 365.25, 0.831393128446795, 0.780208669303321, 0.597926151076886, 0.534674221387503, 0.629960524947437, 0.5, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000918354198822221, 0, 479.289042501109, 438.260534605765, 439.120303070578, 365.25, 0.831393128446795, 0.780208669303321, 0.597926151076886, 0.534674221387503, 0.629960524947437, 0.5, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000918354198822221, 0, 479.289042501109, 438.260534605765, 439.120303070578, 365.25, 0.831393128446795, 0.780208669303321, 0.597926151076886, 0.534674221387503, 0.629960524947437, 0.5, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000918354198822221, 0, 479.289042501109, 438.260534605765, 439.120303070578, 365.25, 0.831393128446795, 0.780208669303321, 0.597926151076886, 0.534674221387503, 0.629960524947437, 0.5, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000998082915793328, 0, 466.518646283632, 408.114277214256, 439.120303070578, 365.25, 0.865010773546257, 0.819588471017333, 0.589283148831192, 0.521855224235976, 0.629960524947437, 0.5, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000998082915793328, 0, 466.518646283632, 408.114277214256, 439.120303070578, 365.25, 0.865010773546257, 0.819588471017333, 0.589283148831192, 0.521855224235976, 0.629960524947437, 0.5, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00102738363647077, 0, 461.962926614252, 398.211101118478, 439.120303070578, 365.25, 0.87736032991111, 0.834101606516054, 0.586138290348629, 0.517221799122425, 0.629960524947437, 0.5, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.00102738363647077, 0, 461.962926614252, 398.211101118478, 439.120303070578, 365.25, 0.87736032991111, 0.834101606516054, 0.586138290348629, 0.517221799122425, 0.629960524947437, 0.5, 944.157553388402
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0.1, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000493026668102156, 6.18743834797923e-05, 1403.69715284837, 1232.46000307926, 1317.36090921173, 1095.75, 0.903790086907196, 0.874640972076358, 0.814188371318586, 0.766753798328549, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0.1, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000493026668102156, 6.18743834797923e-05, 1403.69715284837, 1232.46000307926, 1317.36090921173, 1095.75, 0.903790086907196, 0.874640972076358, 0.814188371318586, 0.766753798328549, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510505202596396, 6.30508876235665e-05, 1378.6504840491, 1192.34760307803, 1317.36090921173, 1095.75, 0.925990517967207, 0.901815828933524, 0.811593611363964, 0.762685477322237, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510505202596396, 6.30508876235665e-05, 1378.6504840491, 1192.34760307803, 1317.36090921173, 1095.75, 0.925990517967207, 0.901815828933524, 0.811593611363964, 0.762685477322237, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 6.30510426668723e-05, 1378.64718332642, 1192.34242519509, 1317.36090921173, 1095.75, 0.925993493471877, 0.901819461308187, 0.811593265098562, 0.762684934990967, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 6.30510426668723e-05, 1378.64718332642, 1192.34242519509, 1317.36090921173, 1095.75, 0.925993493471877, 0.901819461308187, 0.811593265098562, 0.762684934990967, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 6.30510426668723e-05, 1378.64718332642, 1192.34242519509, 1317.36090921173, 1095.75, 0.925993493471877, 0.901819461308187, 0.811593265098562, 0.762684934990967, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 60.875, 0.5, 3, 0.00189773355389444, 2832.47266016521, 0.000510507538798147, 6.30510426668723e-05, 1378.64718332642, 1192.34242519509, 1317.36090921173, 1095.75, 0.925993493471877, 0.901819461308187, 0.811593265098562, 0.762684934990967, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000918354198822221, 0.000142194687994129, 479.289042501109, 438.260534605765, 439.120303070578, 365.25, 0.831393128446795, 0.780208669303321, 0.597926151076886, 0.534674221387503, 0.629960524947437, 0.5, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000918354198822221, 0.000142194687994129, 479.289042501109, 438.260534605765, 439.120303070578, 365.25, 0.831393128446795, 0.780208669303321, 0.597926151076886, 0.534674221387503, 0.629960524947437, 0.5, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0.1, 60.875, 0.5, 3, 0.00569320066168333, 944.157553388402, 0.000918354198822221, 0.000142194687994129, 479.289042501109, 438.260534605765, 439.120303070578, 365.25, 0.831393128446795, 0.780208669303321, 0.597926151076886, 0.534674221387503, 0.629960524947437, 0.5, 944.157553388402
