recruitment, n_pat, final_events, interim_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, followup, hazard_trt, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, cutoff_used
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 0, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 0, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 0, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 0, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 0, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 0, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 0, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0.1, 0, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0.1, 0, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.1, 0, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.1, 0, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.1, 0, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.1, 0, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 300, 150, 75, 150, 150, 0.00379546710778889, 0.1, 0, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 300, 150, 75, 150, 150, 0.00379546710778889, 0.1, 0, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 500, 250, 125, 250, 250, 0.00379546710778889, 0.1, 0, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 500, 250, 125, 250, 250, 0.00379546710778889, 0.1, 0, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.1, 0, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.1, 0, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.1, 0, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.1, 0, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0.3, 0, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0.3, 0, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0.3, 0, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0.3, 0, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.3, 0, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.3, 0, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.3, 0, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.3, 0, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0.3, 0, 0, 944.157553388402, 0.00189773355389444, 0.000813314380240475, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0.3, 0, 0, 944.157553388402, 0.00189773355389444, 0.000813314380240475, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0.3, 0, 0, 944.157553388402, 0.00189773355389444, 0.000813314380240475, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0.3, 0, 0, 944.157553388402, 0.00189773355389444, 0.000813314380240475, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.3, 0, 0, 944.157553388402, 0.00189773355389444, 0.000813314380240475, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.3, 0, 0, 944.157553388402, 0.00189773355389444, 0.000813314380240475, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.3, 0, 0, 944.157553388402, 0.00189773355389444, 0.000813314380240475, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.3, 0, 0, 944.157553388402, 0.00189773355389444, 0.000813314380240475, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 300, 150, 75, 150, 150, 0.00379546710778889, 0.3, 0, 0, 472.078776694201, 0.00379546710778889, 0.00162662876048095, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 300, 150, 75, 150, 150, 0.00379546710778889, 0.3, 0, 0, 472.078776694201, 0.00379546710778889, 0.00162662876048095, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 500, 250, 125, 250, 250, 0.00379546710778889, 0.3, 0, 0, 472.078776694201, 0.00379546710778889, 0.00162662876048095, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 500, 250, 125, 250, 250, 0.00379546710778889, 0.3, 0, 0, 472.078776694201, 0.00379546710778889, 0.00162662876048095, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.3, 0, 0, 472.078776694201, 0.00379546710778889, 0.00162662876048095, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.3, 0, 0, 472.078776694201, 0.00379546710778889, 0.00162662876048095, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.3, 0, 0, 472.078776694201, 0.00379546710778889, 0.00162662876048095, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.3, 0, 0, 472.078776694201, 0.00379546710778889, 0.00162662876048095, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0, 60.875, 0, 944.157553388402, 0.00189773355389444, 0, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0, 60.875, 0, 944.157553388402, 0.00189773355389444, 0, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0, 60.875, 0, 944.157553388402, 0.00189773355389444, 0, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0, 60.875, 0, 944.157553388402, 0.00189773355389444, 0, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0, 60.875, 0, 944.157553388402, 0.00189773355389444, 0, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0, 60.875, 0, 944.157553388402, 0.00189773355389444, 0, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0, 60.875, 0, 944.157553388402, 0.00189773355389444, 0, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0, 60.875, 0, 944.157553388402, 0.00189773355389444, 0, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 300, 150, 75, 150, 150, 0.00379546710778889, 0, 60.875, 0, 472.078776694201, 0.00379546710778889, 0, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 300, 150, 75, 150, 150, 0.00379546710778889, 0, 60.875, 0, 472.078776694201, 0.00379546710778889, 0, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 500, 250, 125, 250, 250, 0.00379546710778889, 0, 60.875, 0, 472.078776694201, 0.00379546710778889, 0, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 500, 250, 125, 250, 250, 0.00379546710778889, 0, 60.875, 0, 472.078776694201, 0.00379546710778889, 0, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 1000, 500, 250, 500, 500, 0.00379546710778889, 0, 60.875, 0, 472.078776694201, 0.00379546710778889, 0, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 1000, 500, 250, 500, 500, 0.00379546710778889, 0, 60.875, 0, 472.078776694201, 0.00379546710778889, 0, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 1500, 750, 375, 750, 750, 0.00379546710778889, 0, 60.875, 0, 472.078776694201, 0.00379546710778889, 0, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 1500, 750, 375, 750, 750, 0.00379546710778889, 0, 60.875, 0, 472.078776694201, 0.00379546710778889, 0, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0.1, 60.875, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0.1, 60.875, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 60.875, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0.1, 60.875, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 60.875, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.1, 60.875, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 60.875, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.1, 60.875, 0, 2832.47266016521, 0.000632577851298148, 7.02864279220164e-05, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 60.875, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0.1, 60.875, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0.1, 60.875, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0.1, 60.875, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.1, 60.875, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.1, 60.875, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.1, 60.875, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.1, 60.875, 0, 944.157553388402, 0.00189773355389444, 0.000210859283766033, 439.120303070578, 365.25, 439.120303070578, 365.25, 1, 1, 944.157553388402
547.875, 300, 150, 75, 150, 150, 0.00379546710778889, 0.1, 60.875, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 300, 150, 75, 150, 150, 0.00379546710778889, 0.1, 60.875, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 500, 250, 125, 250, 250, 0.00379546710778889, 0.1, 60.875, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 500, 250, 125, 250, 250, 0.00379546710778889, 0.1, 60.875, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.1, 60.875, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 1000, 500, 250, 500, 500, 0.00379546710778889, 0.1, 60.875, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.1, 60.875, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
913.125, 1500, 750, 375, 750, 750, 0.00379546710778889, 0.1, 60.875, 0, 472.078776694201, 0.00379546710778889, 0.000421718567532098, 219.560151535289, 182.625, 219.560151535289, 182.625, 1, 1, 472.078776694201
547.875, 300, 150, 75, 150, 150, 0.000632577851298148, 0.3, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 300, 150, 75, 150, 150, 0.000632577851298148, 0.3, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 500, 250, 125, 250, 250, 0.000632577851298148, 0.3, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 500, 250, 125, 250, 250, 0.000632577851298148, 0.3, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
547.875, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.3, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
913.125, 1000, 500, 250, 500, 500, 0.000632577851298148, 0.3, 60.875, 0, 2832.47266016521, 0.000632577851298148, 0.000271104793413492, 1317.36090921173, 1095.75, 1317.36090921173, 1095.75, 1, 1, 2832.47266016521
