recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, effect_size_ph, prevalence, hr_subgroup_relative, hazard_trt, target_median_trt, hazard_subgroup, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 0, 1095.75, 1095.75, 172.443099872521, 172.47091664017, 1.00029291268504, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00045379998747, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 0, 1095.75, 1095.75, 172.443099872521, 172.47091664017, 1.00029291268504, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00045379998747, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 0, 1095.75, 1095.75, 172.443099872521, 172.47091664017, 1.00029291268504, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00045379998747, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 0, 1095.75, 1095.75, 172.443099872521, 172.47091664017, 1.00029291268504, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00045379998747, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 0, 1095.75, 1095.75, 172.443099872521, 172.47091664017, 1.00029291268504, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00045379998747, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 0, 1095.75, 1095.75, 172.443099872521, 172.47091664017, 1.00029291268504, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00045379998747, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 0, 1095.75, 1095.75, 172.443099872521, 172.47091664017, 1.00029291268504, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00045379998747, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0.1, 0.7, 0.000654215961194095, 1095.75, 0.000457951172835866, 0, 1095.75, 1095.75, 172.443099872521, 172.47091664017, 1.00029291268504, 1.00268459964048, 326.033888563036, 326.125035191387, 1.00045379998747, 1.00219952232471, 0.890623466962808, 0.890898718140339, 0.793304540975077, 0.7937005259841
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0, 365.25, 365.25, 154.283299184217, 154.338430815216, 1.00050540070398, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00018704285514, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0.1, 0.7, 0.00196264788358228, 365.25, 0.0013738535185076, 0, 365.25, 365.25, 154.283299184217, 154.338430815216, 1.00050540070398, 1.00172541764296, 263.373640993863, 263.472181842347, 1.00018704285514, 1.00037412053394, 0.706706201729441, 0.707106781186548, 0.5, 0.5
